acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist,mood
0.00791,0.45,0.449,0,0.173,-12.037,0.156,135.45,0.137,Milly Rock,2milly,exciting
0.0219,0.897,0.642,1.31E-06,0.159,-8.828,0.0534,127.984,0.27,Blas̩ (feat. Future & Rae Sremmurd),Ty Dolla $ign,calm
0.0358,0.959,0.598,0,0.358,-5.534,0.0713,127.029,0.424,Best Friend,Young Thug,exciting
0.0324,0.742,0.559,0,0.0987,-5.876,0.141,146.923,0.429,Hercules,Young Thug,exciting
0.118,0.805,0.687,0,0.0842,-7.771,0.0458,119.999,0.683,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,calm
0.0428,0.667,0.581,0,0.183,-5.164,0.323,110.953,0.372,Check,Young Thug,exciting
0.297,0.722,0.823,0,0.489,-3.916,0.081,148.23,0.855,Poppin' My Collar,Three 6 Mafia,exciting
0.0565,0.853,0.547,0,0.341,-7.535,0.194,142.065,0.677,Jumpman,Drake,exciting
0.0128,0.747,0.705,0,0.126,-5.137,0.126,136.024,0.571,11-Jul,Beyonc̩,exciting
0.135,0.777,0.591,5.50E-05,0.126,-7.431,0.0327,124.111,0.848,Somebody's Watching Me,Rockwell,happy
0.00041,0.731,0.852,0.625,0.358,-6.08,0.0476,125.008,0.622,Bang That,Disclosure,happy
0.00356,0.76,0.402,0,0.333,-8.751,0.164,147.028,0.069,I Don't Sell Molly No More,ILoveMakonnen,exciting
0.00156,0.624,0.792,1.54E-06,0.0772,-5.33,0.0473,139.94,0.318,Versace Python,Riff Raff,calm
0.00243,0.621,0.683,0.00856,0.525,-5.619,0.242,124.283,0.0891,Monster,Kanye West,exciting
0.533,0.64,0.819,0,0.156,-4.108,0.455,166.012,0.624,OOOUUU,Young M.A.,exciting
0.00631,0.715,0.833,0,0.164,-5.379,0.108,95.487,0.607,Return Of The Mack - C & J Street Mix,Mark Morrison,calm
0.00182,0.7,0.756,0.711,0.0575,-10.714,0.0575,114.28,0.947,Fantastic Man,William Onyeabor,happy
0.0923,0.789,0.494,0.000408,0.144,-13.702,0.0456,104.593,0.832,Right Place Wrong Time,Dr. John,happy
0.375,0.796,0.86,0.00457,0.0745,-6.202,0.0653,129.008,0.973,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,happy
0.183,0.716,0.957,0.058,0.182,-4.814,0.0689,106.714,0.93,Odofo Nyi Akyiri Biara,Ebo Taylor,happy
0.0185,0.74,0.846,0.0624,0.254,-6.039,0.0808,95.995,0.852,Annie,Neon Indian,calm
0.0638,0.7,0.84,0.112,0.141,-6.227,0.0292,132.475,0.745,The Chase,Future Islands,calm
0.456,0.514,0.453,0.000181,0.178,-7.062,0.0267,75.548,0.532,Coming Home,Leon Bridges,sad
0.128,0.313,0.77,0.0787,0.0873,-7.265,0.0335,74.749,0.186,Wishes,Beach House,sad
0.246,0.676,0.528,0,0.0803,-8.699,0.0366,130.073,0.301,White Iverson,Post Malone,calm
0.12,0.532,0.596,0,0.504,-9.912,0.187,119.296,0.486,I Know There's Gonna Be (Good Times),Jamie xx,calm
0.00426,0.646,0.629,0.277,0.122,-10.775,0.0427,109.013,0.176,Loud Places,Jamie xx,calm
0.193,0.598,0.252,0.138,0.0992,-15.086,0.0647,120.06,0.0359,L$D,A$AP Rocky,calm
0.0174,0.754,0.442,9.40E-05,0.0622,-8.873,0.127,148.04,0.599,Dopeman,Vince Staples,calm
0.000392,0.294,0.786,0.865,0.272,-3.626,0.0378,81.108,0.136,California Nights,Best Coast,sad
0.435,0.622,0.253,0.471,0.0941,-14.36,0.0331,92.584,0.328,Baby,Ariel Pink's Haunted Graffiti,sad
0.257,0.559,0.656,0.000171,0.2,-8.699,0.0469,79.638,0.671,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",sad
0.000145,0.54,0.945,0.753,0.667,-6.64,0.0406,92.995,0.87,Fail to Cry,Yacht Club,calm
0.273,0.793,0.7,0,0.174,-6.641,0.0572,140.058,0.887,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,sad
0.374,0.549,0.715,3.50E-06,0.17,-11.164,0.0633,82.118,0.785,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,calm
0.00266,0.557,0.607,0.771,0.33,-10.088,0.0578,73.061,0.259,Sentimental Trash,Sweet Valley,sad
0.000546,0.597,0.444,0.051,0.335,-8.39,0.03,120.074,0.361,Get Away,CHVRCHES,happy
0.00781,0.879,0.512,1.45E-05,0.134,-7.83,0.0775,127.95,0.277,Look At Wrist,Father,calm
0.125,0.726,0.497,0.89,0.104,-10.742,0.0433,125.004,0.472,Our Love,Caribou,happy
0.00158,0.857,0.831,0,0.154,-4.664,0.0995,106.059,0.251,I Ain't Trippin off Nothin,Ezale,exciting
0.0132,0.807,0.778,0.666,0.109,-5.485,0.0399,120.001,0.797,They Don't Know - Original Mix,Disciples,happy
0.783,0.596,0.639,0.569,0.331,-6.546,0.03,124.012,0.197,Sabali,Amadou & Mariam,calm
0.518,0.683,0.708,2.08E-05,0.175,-6.852,0.0289,106.446,0.967,Spooky,Dusty Springfield,calm
0.0548,0.768,0.853,0.13,0.0188,-5.915,0.0427,107.234,0.887,Pick Up The Pieces,Average White Band,happy
0.727,0.506,0.948,0,0.0904,-5.626,0.105,130.195,0.936,Have Love Will Travel,The Sonics,happy
0.000313,0.457,0.918,0.000215,0.769,-5.295,0.0471,105.018,0.297,Capitol,TR/ST,happy
0.34,0.468,0.58,0.821,0.0737,-8.131,0.0278,76.27,0.324,Uncast Shadow Of A Southern Myth,Parquet Courts,sad
0.47,0.537,0.447,1.86E-05,0.0519,-8.261,0.0289,84.362,0.549,I Shall Be Released - Remastered,Nina Simone,sad
0.855,0.515,0.217,0.463,0.598,-13.382,0.0351,80.015,0.194,Words I Don't Remember,How To Dress Well,sad
0.00502,0.429,0.725,1.54E-05,0.266,-6.156,0.0371,82.925,0.174,To The Top,Twin Shadow,calm
0.555,0.791,0.58,0.00155,0.116,-8.377,0.0588,81.678,0.733,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,calm
0.186,0.711,0.705,0,0.148,-6.248,0.252,144.053,0.403,Aquafina (feat. GoldLink & Chaz French),Falcons,exciting
0.0249,0.683,0.824,0.627,0.0533,-8.569,0.222,154.008,0.921,Hot Blur,How Sad,calm
0.0108,0.309,0.325,0.854,0.0742,-16.4,0.0366,175.88,0.46,Summer Madness,Kool & The Gang,calm
0.193,0.867,0.733,0.000219,0.749,-7.54,0.237,97.835,0.761,The Payback,James Brown,happy
0.0192,0.619,0.734,0.263,0.0771,-9.366,0.0343,106.034,0.853,I'm In Love,Fool's Gold,happy
0.00776,0.898,0.5,0.292,0.0771,-11.089,0.0571,122.281,0.868,I Need You Tonight,Punkin Machine,happy
0.17,0.589,0.745,0.000406,0.376,-8.109,0.076,99.407,0.76,Everybody Likes Something Good,Ify Jerry Crusade,happy
0.0221,0.606,0.668,1.65E-05,0.0527,-9.168,0.0729,158.859,0.958,Dadje Von O Von Non,Gnonnas P̩dro,calm
0.0397,0.786,0.547,0.272,0.0378,-11.416,0.262,92.603,0.68,Sugah Daddy,D'Angelo,happy
0.0213,0.734,0.548,0,0.512,-9.682,0.386,128.289,0.72,International Players Anthem,Swishahouse,exciting
0.0454,0.812,0.676,0,0.0929,-4.502,0.0491,114.047,0.399,Swerve,ILoveMakonnen,exciting
0.00672,0.876,0.606,1.06E-05,0.14,-5.471,0.0645,127.975,0.249,Look At Wrist,Father,calm
0.00488,0.601,0.873,0.0365,0.113,-5.866,0.0448,124.997,0.566,Let It Happen,Tame Impala,happy
0.00419,0.748,0.741,0,0.147,-3.103,0.0531,128.077,0.533,My Way (feat. Monty),Fetty Wap,exciting
0.17,0.615,0.814,0,0.218,-3.903,0.0677,144.005,0.601,Walk,Kwabs,sad
0.0604,0.799,0.789,0,0.0338,-8.208,0.0396,116.081,0.833,The Magnificent Seven - Remastered,The Clash,happy
0.0571,0.398,0.776,0.0172,0.303,-7.388,0.0374,110.815,0.689,NOBO,Tijuana Panthers,happy
0.716,0.685,0.423,0.518,0.0765,-9.031,0.0475,138.034,0.649,The Gaudy Side of Town,Gayngs,sad
0.0151,0.706,0.581,0,0.368,-6.492,0.055,134.009,0.463,U Mad,Vic Mensa,exciting
0.00898,0.612,0.799,0,0.172,-4.603,0.0275,125.976,0.675,What Ifs,Kane Brown,sad
0.918,0.331,0.0861,0.902,0.106,-21.226,0.0354,107.436,0.152,I Have Dreamed,Christian McBride,sad
0.0175,0.564,0.737,0,0.054,-4.079,0.0414,104.764,0.231,Middle,DJ Snake,calm
0.0481,0.603,0.944,0,0.342,-3.626,0.347,130.035,0.398,I've Seen Footage,Death Grips,exciting
0.0458,0.704,0.928,0,0.345,-3.422,0.0443,113.981,0.96,Lifer,MercyMe,happy
0.0446,0.853,0.676,3.37E-05,0.0514,-5.533,0.0715,122.65,0.558,Don't Stop The Music,Rihanna,happy
0.9,0.582,0.401,0.538,0.157,-8.731,0.028,112.357,0.414,No Woman,Whitney,happy
0.456,0.514,0.453,0.000181,0.178,-7.062,0.0267,75.548,0.532,Coming Home,Leon Bridges,sad
0.000259,0.644,0.758,0.0708,0.0726,-7.859,0.0458,108.99,0.752,Dark Matter,Feathers,calm
1.56E-05,0.493,0.964,0.00733,0.727,-3.079,0.0954,110.005,0.17,Drown Me in Blood,Carnifex,exciting
0.0102,0.833,0.434,0.0219,0.165,-8.795,0.431,150.062,0.286,Mask Off,Future,happy
0.0724,0.827,0.646,0,0.247,-4.727,0.0766,92.057,0.51,Chillax,Farruko,calm
0.0119,0.473,0.794,0.00218,0.418,-5.151,0.0462,139.313,0.293,Harlem Shake,Baauer,happy
0.914,0.425,0.136,0.921,0.127,-17.382,0.0293,168.527,0.227,The Sweetest Nighlife,Ellie & The Bunch,sad
0.00166,0.587,0.841,0.53,0.117,-5.079,0.0476,142.95,0.696,Celebrando,CLUBZ,happy
0.243,0.683,0.691,0,0.14,-5.535,0.0432,179.91,0.746,El Amante,Nicky Jam,happy
0.0305,0.874,0.492,0,0.117,-4.898,0.328,64.992,0.644,Long Heels Red Bottoms,Trina,exciting
0.157,0.729,0.818,0.285,0.195,-9.992,0.0732,125.811,0.909,Bang A Gong [Get It On] (Remastered Single/LP Version),T. Rex,happy
0.251,0.569,0.74,2.68E-06,0.134,-6.235,0.283,180.559,0.709,Dancing In The Rain,Blu,calm
0.025,0.854,0.46,0,0.128,-9.71,0.14,97.512,0.492,Gas Pedal (feat. IamSu),Sage The Gemini,exciting
0.0246,0.586,0.806,0.000167,0.353,-9.542,0.0548,110.325,0.207,Her Fantasy,Matthew Dear,exciting
0.0365,0.829,0.637,0.0233,0.267,-9.481,0.0882,120.761,0.688,Changes,Crazy P,exciting
0.000103,0.498,0.553,0.528,0.273,-6.193,0.0332,111.015,0.228,Kim & Jessie,M83,calm
0.0151,0.502,0.732,0.000119,0.0897,-5.45,0.168,122.025,0.529,Latch,Disclosure,happy
0.286,0.706,0.689,0,0.123,-5.533,0.17,144.127,0.42,Ahora Dice,Chris Jeday,happy
0.854,0.354,0.228,0.8,0.113,-10.304,0.0296,82.758,0.0745,Cloud Atlas End Title,Tom Tykwer,sad
0.0159,0.591,0.577,0,0.162,-6.107,0.0331,156.107,0.52,Man Enough Now,Chris Bandi,sad
0.0197,0.593,0.814,0,0.18,-4.802,0.166,146.919,0.47,Faster than Boyz,Victorious Cast,happy
0.162,0.529,0.95,0.00199,0.616,-3.446,0.056,119.964,0.456,Sacrilege,Yeah Yeah Yeahs,exciting
0.0757,0.572,0.853,0,0.0798,-3.203,0.217,171.297,0.0995,'Till I Collapse,Eminem,exciting
0.00477,0.585,0.614,0.000155,0.0762,-5.594,0.037,114.059,0.273,Cool for the Summer,Demi Lovato,happy
0.0242,0.735,0.759,0.185,0.0966,-6.914,0.0449,109.982,0.763,C O O L - Radio Edit,Le Youth,happy
0.498,0.331,0.427,0,0.108,-7.431,0.0302,157.938,0.129,Oh My Soul,Casting Crowns,sad
0.429,0.616,0.401,0,0.161,-7.318,0.0344,143.75,0.354,Can't Blame a Girl for Trying,Sabrina Carpenter,happy
7.94E-06,0.236,0.981,0.874,0.325,-2.635,0.299,160.114,0.129,Soil the Stillborn,Infant Annihilator,exciting
0.144,0.736,0.616,2.29E-06,0.268,-8.016,0.0345,101.966,0.89,Safe,Bay Ledges,calm
0.013,0.853,0.56,0,0.0944,-4.961,0.0406,134.066,0.853,That's What I Like,Bruno Mars,happy
0.0555,0.735,0.798,0.0627,0.161,-6.175,0.127,113.997,0.469,Losing You,Solange,happy
0.0551,0.547,0.643,0,0.267,-8.904,0.227,143.064,0.187,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,exciting
0.537,0.191,0.664,1.23E-06,0.353,-4.125,0.0456,203.822,0.545,Puppy Love,Donny Osmond,sad
0.00107,0.507,0.918,8.70E-06,0.311,-4.684,0.0701,92.006,0.275,Help,Papa Roach,sad
0.0102,0.533,0.91,0,0.108,-3.087,0.0566,113.054,0.481,Yours If You Want It,Rascal Flatts,happy
0.0495,0.547,0.513,0,0.181,-7.451,0.0309,110.54,0.262,Broken Things,Matthew West,sad
0.468,0.578,0.375,0,0.156,-12.951,0.0272,89.605,0.561,Water Runs Dry,Boyz II Men,calm
0.214,0.638,0.634,0,0.0866,-6.474,0.0468,92.097,0.445,I Could Use a Love Song,Maren Morris,sad
0.000239,0.329,0.814,0.0944,0.0936,-6.005,0.0674,120.462,0.403,The Moment,Tame Impala,happy
0.19,0.776,0.507,0,0.12,-5.752,0.0405,98.051,0.51,Secret Love,JoJo,calm
0.198,0.89,0.52,0.273,0.0638,-6.927,0.187,114.959,0.717,Something About You - Extended Mix,Hayden James,happy
